Ethnicity,Ethnicity_type,Time,Time_type,Georgraphy,Geography_type,Gender,Gender type,Age,Age Bracket Type,Highest qualification held,Qualification_type,Value,Value_type,Numerator,Denominator,upper 95%,lower 95%
Unreported,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,69.20%,%,2177429.5,3144436.5,70%,68.50%
White,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,64.70%,%,1133797,1751612,65.80%,63.70%
Mixed,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,40.80%,%,41261,101025,48.70%,32.90%
Black or Black British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,53.90%,%,28628,53150,65.70%,42%
Other,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other than White ,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,47.20%,%,96126,203531,53%,41.40%
Unreported,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,62.90%,%,1230345,1955565,63.90%,61.90%
White,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,70.40%,%,576383,818861,71.90%,68.90%
Mixed,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,44.80%,%,71094,158645,51.10%,38.60%
Black or Black British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,58.60%,%,33328,56847,69.30%,47.90%
Other,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,48.70%,%,38428,78838,58.10%,39.40%
Other than White ,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,49.30%,%,150970,306067,53.90%,44.70%
Unreported,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,64.60%,%,729049,1127697,66%,63.30%
White,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,40.70%,%,463200,1139094,41.90%,39.40%
Mixed,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,18.80%,%,30992,164453,23.50%,14.20%
Black or Black British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,40.30%,%,25519,63373,50.70%,29.90%
Other,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,32.70%,%,18913,57793,42.60%,22.90%
Other than White ,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,26.90%,%,81144,301614,30.90%,22.90%
Unreported,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,37.70%,%,544469,1442833,38.90%,36.60%
White,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,51.40%,%,18426,35851,59.50%,43.30%
Mixed,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Black or Black British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other than White ,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Unreported,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,45.60%,%,19946,43789,53%,38.10%
White,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,75.20%,%,12041739,16023006,75.50%,74.80%
Mixed,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,68.30%,%,161719,236898,73.30%,63.20%
Asian or Asian British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,57.10%,%,740143,1295722,59.30%,54.90%
Black or Black British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,68.20%,%,435251,638118,71.40%,65%
Other,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,59.20%,%,276976,467598,63.10%,55.40%
Other than White ,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,61.20%,%,1614089,2638336,62.80%,59.60%
Unreported,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,73.20%,%,13666311,18679486,73.50%,72.90%
White,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,87.20%,%,11066390,12687879,87.50%,86.90%
Mixed,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,85.70%,%,178964,208941,90%,81.30%
Asian or Asian British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,83.70%,%,1037577,1239288,85.50%,81.90%
Black or Black British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,83.50%,%,435777,522096,86.30%,80.60%
Other,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,78.40%,%,346979,442646,81.80%,74.90%
Other than White ,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,82.90%,%,1999297,2412971,84.20%,81.50%
Unreported,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,86.50%,%,13076548,15113629,86.80%,86.20%
White,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,83.40%,%,4817183.5,5778252.5,83.80%,82.90%
Mixed,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,70.60%,%,53144.5,75280.5,79.80%,61.40%
Asian or Asian British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,73.10%,%,188027,257342,77.70%,68.40%
Black or Black British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,74%,%,115909.5,156540,80.50%,67.60%
Other,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,63.40%,%,41470.5,65373.5,73.70%,53.20%
Other than White ,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,71.90%,%,398551.5,554536,75.20%,68.50%
Unreported,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,82.40%,%,5218889,6336239.5,82.80%,81.90%
White,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,76%,%,4233158.5,5573520.5,76.50%,75.40%
Mixed,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,60.60%,%,48724.5,80434.5,69.90%,51.30%
Asian or Asian British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,60.10%,%,152887,254405,65.10%,55%
Black or Black British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,63.10%,%,103008.5,163288,69.70%,56.50%
Other,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,65.90%,%,41871.5,63533.5,76.30%,55.50%
Other than White ,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,61.70%,%,346491.5,561661,65.20%,58.20%
Unreported,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,74.70%,%,4582761,6138631.5,75.20%,74.10%
White,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,71.60%,%,2551983,3562626,72.30%,70.90%
Mixed,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,60.90%,%,23199,38104,74%,47.70%
Asian or Asian British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,57.50%,%,111834,194334,63.40%,51.70%
Black or Black British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,61.90%,%,60709,98128,70.60%,53.20%
Other,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,56.50%,%,27569,48762,68.60%,44.40%
Other than White ,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,58.90%,%,223311,379328,63.10%,54.60%
Unreported,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,70.40%,%,2775716,3942376,71.10%,69.70%
White,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,78.50%,%,1559938,1987097,79.40%,77.60%
Mixed,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,65.20%,%,213285,327003,69.50%,61%
Black or Black British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,71.40%,%,93715,131171,78.20%,64.70%
Other,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,65.90%,%,108463,164573,72.20%,59.60%
Other than White ,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,67%,%,433833,647919,70%,63.90%
Unreported,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,75.70%,%,1996893,2639211,76.50%,74.90%
White,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,48.60%,%,1181057,2431188,49.50%,47.70%
Mixed,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,36.40%,%,11908,32670,49.70%,23.20%
Asian or Asian British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,41.80%,%,136459,326329,46.10%,37.50%
Black or Black British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,51.20%,%,60532,118140,59.10%,43.40%
Other,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,44.90%,%,50923,113494,52.40%,37.30%
Other than White ,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,44%,%,259822,590633,47.30%,40.70%
Unreported,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,47.70%,%,1442726,3026951,48.50%,46.80%
White,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,55.70%,%,47721,85720,61%,50.30%
Mixed,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Black or Black British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other than White ,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Unreported,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,55.80%,%,58301,104499,60.70%,50.80%
White,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,79.30%,%,25457431,32106283,79.50%,79.10%
Mixed,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,72.50%,%,334445,461190,76.10%,68.90%
Asian or Asian British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,70.80%,%,1846048,2607476,72.30%,69.30%
Black or Black British,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,73.10%,%,872329,1193520,75.30%,70.80%
Other,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,68.80%,%,619064,900365,71.40%,66.10%
Other than White ,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,71.10%,%,3671886,5162551,72.20%,70.10%
Unreported,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,68.90%,%,22517,32703,82.40%,55.40%
All,ONS 5+1,2018,Year,"England, Wales and Scotland ",ONS geography code,All,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,78.20%,%,29151834,37301537,78.40%,77.90%
White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,89.9%,%,5454087,6069729,90.3%,89.5%
Mixed,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,93.5%,%,90968,97344,98.2%,88.7%
Asian or Asian British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,91.9%,%,608630,662347,93.8%,90.0%
Black or Black British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,84.6%,%,210907,249300,88.8%,80.4%
Other,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,90.4%,%,182695,202058,94.3%,86.6%
Other than White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,90.3%,%,1093200,1211049,91.8%,88.7%
Unreported,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,89.9%,%,6550824,7284315,90.3%,89.6%
White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,86.5%,%,2681030,3100822,87.1%,85.8%
Mixed,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,80.9%,%,34752,42954,92.2%,69.6%
Asian or Asian British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,84.4%,%,106247.5,125938.5,90.1%,78.6%
Black or Black British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,81.7%,%,58964,72207,90.1%,73.2%
Other,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other than White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,82.4%,%,220593.5,267554.5,86.7%,78.2%
Unreported,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,86.2%,%,2903935.5,3370688.5,86.8%,85.6%
White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,82.1%,%,2255902,2748874,82.8%,81.3%
Mixed,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,64.0%,%,20786,32461,78.6%,49.5%
Asian or Asian British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,73.3%,%,92985.5,126825.5,80.1%,66.5%
Black or Black British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,72.7%,%,53126,73114,82.9%,62.4%
Other,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other than White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,71.5%,%,191126.5,267125.5,76.5%,66.6%
Unreported,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,81.1%,%,2447224.5,3016195.5,81.9%,80.4%
White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,77.6%,%,1352263,1742310,78.6%,76.6%
Mixed,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
